# u |D(u)|
2.650790674417151105e-01 3.268264582437013441e-04
2.653165822863928769e-01 3.128637886327276197e-04
2.655540971310706988e-01 2.768238318471555456e-04
2.657916119757485207e-01 2.384107065245982555e-04
2.660291268204262871e-01 2.264721134735094476e-04
2.662666416651040535e-01 2.518945389076728382e-04
2.665041565097818754e-01 2.919892644866746803e-04
2.667416713544596418e-01 3.199976242361041385e-04
2.669791861991374637e-01 3.219455800801123303e-04
2.672167010438152301e-01 2.969240909121705378e-04
2.674542158884930521e-01 2.568844258033710533e-04
2.676917307331708185e-01 2.269108919176724575e-04
2.679292455778486404e-01 2.323354073748957972e-04
2.681667604225264068e-01 2.677568118853838625e-04
2.684042752672042287e-01 3.048990440270364340e-04
2.686417901118819951e-01 3.222581688163219955e-04
2.688793049565597615e-01 3.118028309950253625e-04
2.691168198012375834e-01 2.781439515263117463e-04
2.693543346459154053e-01 2.390799483382193740e-04
2.695918494905931717e-01 2.228611176824421666e-04
2.698293643352709381e-01 2.441944947046014347e-04
2.700668791799487600e-01 2.835846936896860705e-04
2.703043940246265264e-01 3.136635870479637296e-04
2.705419088693043483e-01 3.189996099685464700e-04
2.707794237139821147e-01 2.971828450296104150e-04
2.710169385586599367e-01 2.584110083490604327e-04
2.712544534033377031e-01 2.260439510502910824e-04
2.714919682480155250e-01 2.266574562808133526e-04
2.717294830926932914e-01 2.594000967229574597e-04
2.719669979373711133e-01 2.972313970574450969e-04
2.722045127820488797e-01 3.174029028907758652e-04
2.724420276267266461e-01 3.104230136012341179e-04
2.726795424714044680e-01 2.793319144839928299e-04
2.729170573160822899e-01 2.400666039683855733e-04
2.731545721607600563e-01 2.199390175031237565e-04
2.733920870054378227e-01 2.369655975359258283e-04
2.736296018501156446e-01 2.752581434281209014e-04
2.738671166947934110e-01 3.071328868094770344e-04
2.741046315394712329e-01 3.157313646884579023e-04
2.743421463841489993e-01 2.971751118402709852e-04
2.745796612288268213e-01 2.599750260459570751e-04
2.748171760735045877e-01 2.257091458720831743e-04
2.750546909181824096e-01 2.216284532778687439e-04
2.752922057628601760e-01 2.513293475829990638e-04
2.755297206075379979e-01 2.895012126965325382e-04
2.757672354522157643e-01 3.122765399710572369e-04
2.760047502968935307e-01 3.087213538955047259e-04
2.762422651415713526e-01 2.803539946216878579e-04
2.764797799862491745e-01 2.413042432581692968e-04
2.767172948309269409e-01 2.176796077393222467e-04
2.769548096756047073e-01 2.302431405954795244e-04
2.771923245202825292e-01 2.670451812398402357e-04
2.774298393649602956e-01 3.004289716457522914e-04
2.776673542096381175e-01 3.121493046924728133e-04
2.779048690543158839e-01 2.968861241945798621e-04
2.781423838989937058e-01 2.615261992554061094e-04
2.783798987436714722e-01 2.258451614063095318e-04
2.786174135883492942e-01 2.172579814361961983e-04
2.788549284330270606e-01 2.435839600305660731e-04
2.790924432777048825e-01 2.817387613032811228e-04
2.793299581223826489e-01 3.068963328448385207e-04
2.795674729670604153e-01 3.066973866685578304e-04
