# n,x,y,z,residue_mod3
471,21.52408,-2.77739,1.02581,0
472,21.55277,-2.73463,1.02616,1
473,21.58133,-2.69186,1.02652,2
474,21.60978,-2.64907,1.02687,0
475,21.63810,-2.60627,1.02722,1
476,21.66630,-2.56345,1.02757,2
477,21.69439,-2.52062,1.02792,0
478,21.72235,-2.47777,1.02827,1
479,21.75020,-2.43491,1.02862,2
480,21.77793,-2.39204,1.02896,0
481,21.80554,-2.34915,1.02931,1
482,21.83303,-2.30625,1.02966,2
483,21.86040,-2.26334,1.03000,0
484,21.88766,-2.22042,1.03035,1
485,21.91480,-2.17749,1.03069,2
486,21.94183,-2.13454,1.03103,0
487,21.96873,-2.09158,1.03138,1
488,21.99553,-2.04862,1.03172,2
489,22.02220,-2.00564,1.03206,0
490,22.04876,-1.96265,1.03240,1
491,22.07521,-1.91965,1.03274,2
492,22.10154,-1.87664,1.03308,0
493,22.12776,-1.83362,1.03342,1
494,22.15387,-1.79059,1.03376,2
495,22.17986,-1.74755,1.03409,0
496,22.20574,-1.70450,1.03443,1
497,22.23150,-1.66145,1.03477,2
498,22.25715,-1.61838,1.03510,0
499,22.28269,-1.57531,1.03543,1
500,22.30812,-1.53223,1.03577,2
501,22.33344,-1.48914,1.03610,0
502,22.35864,-1.44605,1.03643,1
503,22.38374,-1.40295,1.03677,2
504,22.40872,-1.35984,1.03710,0
505,22.43360,-1.31672,1.03743,1
506,22.45836,-1.27360,1.03776,2
507,22.48301,-1.23047,1.03809,0
508,22.50756,-1.18733,1.03841,1
509,22.53200,-1.14419,1.03874,2
510,22.55632,-1.10105,1.03907,0
511,22.58054,-1.05790,1.03939,1
512,22.60465,-1.01474,1.03972,2
513,22.62866,-0.97158,1.04005,0
514,22.65255,-0.92841,1.04037,1
515,22.67634,-0.88524,1.04069,2
516,22.70002,-0.84207,1.04102,0
517,22.72360,-0.79889,1.04134,1
518,22.74706,-0.75571,1.04166,2
519,22.77043,-0.71252,1.04198,0
520,22.79368,-0.66933,1.04230,1
521,22.81683,-0.62614,1.04263,2
522,22.83988,-0.58295,1.04294,0
523,22.86282,-0.53975,1.04326,1
524,22.88566,-0.49655,1.04358,2
525,22.90839,-0.45335,1.04390,0
526,22.93102,-0.41014,1.04422,1
527,22.95355,-0.36694,1.04453,2
528,22.97597,-0.32373,1.04485,0
529,22.99829,-0.28052,1.04516,1
530,23.02051,-0.23731,1.04548,2
531,23.04262,-0.19410,1.04579,0
532,23.06463,-0.15089,1.04611,1
533,23.08654,-0.10767,1.04642,2
534,23.10835,-0.06446,1.04673,0
535,23.13006,-0.02125,1.04704,1
536,23.15166,0.02197,1.04736,2
537,23.17317,0.06518,1.04767,0
538,23.19457,0.10839,1.04798,1
539,23.21588,0.15161,1.04829,2
540,23.23708,0.19482,1.04859,0
541,23.25819,0.23803,1.04890,1
542,23.27919,0.28124,1.04921,2
543,23.30010,0.32445,1.04952,0
544,23.32091,0.36766,1.04982,1
545,23.34162,0.41087,1.05013,2
546,23.36223,0.45407,1.05044,0
547,23.38274,0.49727,1.05074,1
548,23.40316,0.54047,1.05105,2
549,23.42348,0.58367,1.05135,0
550,23.44370,0.62687,1.05165,1
551,23.46382,0.67006,1.05196,2
552,23.48385,0.71325,1.05226,0
553,23.50378,0.75644,1.05256,1
554,23.52362,0.79963,1.05286,2
555,23.54336,0.84281,1.05316,0
556,23.56300,0.88599,1.05346,1
557,23.58255,0.92916,1.05376,2
558,23.60200,0.97233,1.05406,0
559,23.62136,1.01550,1.05436,1
560,23.64063,1.05866,1.05466,2
561,23.65980,1.10182,1.05495,0
562,23.67887,1.14497,1.05525,1
563,23.69786,1.18812,1.05555,2
564,23.71674,1.23127,1.05584,0
565,23.73554,1.27441,1.05614,1
566,23.75424,1.31754,1.05643,2
567,23.77285,1.36067,1.05673,0
568,23.79137,1.40380,1.05702,1
569,23.80980,1.44692,1.05731,2
570,23.82813,1.49003,1.05761,0
571,23.84637,1.53314,1.05790,1
572,23.86452,1.57624,1.05819,2
573,23.88258,1.61934,1.05848,0
574,23.90055,1.66243,1.05877,1
575,23.91843,1.70551,1.05906,2
576,23.93622,1.74859,1.05935,0
577,23.95391,1.79166,1.05964,1
578,23.97152,1.83472,1.05993,2
579,23.98904,1.87778,1.06022,0
580,24.00647,1.92083,1.06050,1
581,24.02381,1.96387,1.06079,2
582,24.04106,2.00691,1.06108,0
583,24.05822,2.04993,1.06136,1
584,24.07529,2.09295,1.06165,2
585,24.09227,2.13597,1.06194,0
586,24.10917,2.17897,1.06222,1
587,24.12598,2.22197,1.06250,2
588,24.14270,2.26496,1.06279,0
589,24.15933,2.30794,1.06307,1
590,24.17588,2.35091,1.06335,2
591,24.19234,2.39388,1.06364,0
592,24.20871,2.43683,1.06392,1
593,24.22500,2.47978,1.06420,2
594,24.24120,2.52272,1.06448,0
595,24.25732,2.56564,1.06476,1
596,24.27335,2.60857,1.06504,2
597,24.28929,2.65148,1.06532,0
598,24.30515,2.69438,1.06560,1
599,24.32092,2.73727,1.06588,2
600,24.33661,2.78015,1.06615,0
601,24.35222,2.82303,1.06643,1
602,24.36774,2.86589,1.06671,2
603,24.38317,2.90874,1.06699,0
604,24.39853,2.95159,1.06726,1
605,24.41380,2.99442,1.06754,2
606,24.42898,3.03724,1.06781,0
607,24.44408,3.08005,1.06809,1
608,24.45910,3.12286,1.06836,2
609,24.47404,3.16565,1.06864,0
610,24.48890,3.20843,1.06891,1
611,24.50367,3.25120,1.06918,2
612,24.51836,3.29396,1.06946,0
613,24.53297,3.33671,1.06973,1
614,24.54749,3.37944,1.07000,2
615,24.56194,3.42217,1.07027,0
616,24.57630,3.46488,1.07054,1
617,24.59058,3.50759,1.07081,2
618,24.60479,3.55028,1.07108,0
619,24.61891,3.59296,1.07135,1
620,24.63295,3.63563,1.07162,2
621,24.64691,3.67828,1.07189,0
622,24.66079,3.72093,1.07216,1
623,24.67459,3.76356,1.07242,2
624,24.68832,3.80618,1.07269,0
625,24.70196,3.84879,1.07296,1
626,24.71552,3.89139,1.07323,2
627,24.72901,3.93397,1.07349,0
628,24.74242,3.97654,1.07376,1
629,24.75574,4.01910,1.07402,2
630,24.76899,4.06165,1.07429,0
631,24.78217,4.10418,1.07455,1
632,24.79526,4.14670,1.07481,2
633,24.80828,4.18921,1.07508,0
634,24.82122,4.23170,1.07534,1
635,24.83408,4.27418,1.07560,2
636,24.84686,4.31665,1.07587,0
637,24.85957,4.35910,1.07613,1
638,24.87220,4.40154,1.07639,2
639,24.88476,4.44397,1.07665,0
640,24.89724,4.48638,1.07691,1
641,24.90964,4.52878,1.07717,2
