# tau K_raw K_smooth K_GUE
5.063375583722482531e-01 1.551489739406862300e+00 4.056551885386801004e-01 5.063375583722482531e-01
5.083388925950633741e-01 1.311560286885714022e-01 4.074995606978598084e-01 5.083388925950633741e-01
5.103402268178786061e-01 6.383336243803601207e-01 3.899311095380142422e-01 5.103402268178786061e-01
5.123415610406938381e-01 1.718866870867852059e+00 4.036287871734802746e-01 5.123415610406938381e-01
5.143428952635090701e-01 6.943852713867127990e-01 4.274206895453325217e-01 5.143428952635090701e-01
5.163442294863243021e-01 1.348369237743418103e-01 4.403550117398312702e-01 5.163442294863243021e-01
5.183455637091394230e-01 2.164429858650114835e-01 4.458263544329320593e-01 5.183455637091394230e-01
5.203468979319546550e-01 2.862885474262603230e-02 4.968245269612351356e-01 5.203468979319546550e-01
5.223482321547698870e-01 7.451452815472751900e-02 4.870336224171347705e-01 5.223482321547698870e-01
5.243495663775851190e-01 1.153050198256926479e-01 4.922643352913445014e-01 5.243495663775851190e-01
5.263509006004003510e-01 3.744502702421140250e-02 4.933151647487611369e-01 5.263509006004003510e-01
5.283522348232154719e-01 9.497657742191628963e-03 4.892501002818258060e-01 5.283522348232154719e-01
5.303535690460307039e-01 7.996170539571634261e-01 4.829598492929944031e-01 5.303535690460307039e-01
5.323549032688459359e-01 7.177062915272243160e-01 5.022199300953278378e-01 5.323549032688459359e-01
5.343562374916611679e-01 8.782088618248462542e-01 5.172664984709705038e-01 5.343562374916611679e-01
5.363575717144763999e-01 5.351750348825415338e-02 5.120018181808645430e-01 5.363575717144763999e-01
5.383589059372915209e-01 2.783497620608665901e-01 5.111449256917465211e-01 5.383589059372915209e-01
5.403602401601067529e-01 1.037789809791268003e-01 4.978669082097932352e-01 5.403602401601067529e-01
5.423615743829219848e-01 5.072586062430628484e-01 5.190618999351463980e-01 5.423615743829219848e-01
5.443629086057372168e-01 8.649635785767616214e-02 5.122721479372414066e-01 5.443629086057372168e-01
5.463642428285524488e-01 8.389305194375027419e-01 5.544393360316064445e-01 5.463642428285524488e-01
5.483655770513675698e-01 7.840252040323566485e-01 5.241314731542513483e-01 5.483655770513675698e-01
5.503669112741828018e-01 2.352488338036794746e-01 5.277671450731573621e-01 5.503669112741828018e-01
5.523682454969980338e-01 9.761023322726153362e-01 5.327309509628891382e-01 5.523682454969980338e-01
5.543695797198132658e-01 1.115775993921118925e+00 4.952016477117732185e-01 5.543695797198132658e-01
5.563709139426284978e-01 6.151826756163261134e-01 4.989406664999389007e-01 5.563709139426284978e-01
5.583722481654437297e-01 2.343211328779113423e-01 5.164568712894385127e-01 5.583722481654437297e-01
5.603735823882588507e-01 2.661496099099255552e+00 5.184929293531507222e-01 5.603735823882588507e-01
5.623749166110740827e-01 3.341766971195220259e-02 5.178648239229000083e-01 5.623749166110740827e-01
5.643762508338893147e-01 7.674833236460699704e-01 5.336291214751553991e-01 5.643762508338893147e-01
5.663775850567045467e-01 2.570759684893317298e-01 5.668338213401856729e-01 5.663775850567045467e-01
5.683789192795197787e-01 3.294437975742958713e-02 5.663713237414209623e-01 5.683789192795197787e-01
5.703802535023348996e-01 2.174978869897266701e-02 5.720278304943828829e-01 5.703802535023348996e-01
5.723815877251501316e-01 8.861414064598045481e-01 5.531736281948637091e-01 5.723815877251501316e-01
5.743829219479653636e-01 6.677667672202416416e-01 5.436868678230848406e-01 5.743829219479653636e-01
